term,status,targets,candidateTargets,sources,note
3D,approved,workType:three_d,,localogue-community-data|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,Community genre_000285 (production) 精确名称。
3P,approved,genre:threesome,,localogue-community-data,Community genre_000230 (act) 精确名称。
3P、4P,approved,genre:group_sex,,metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
4K UHD,approved,sourceOnly:media_4k_uhd,,localogue-community-data|localogue-vocabulary,Community genre_000317 (media) 精确名称。
4K超高清,approved,sourceOnly:media_4k_uhd,,localogue-community-data|localogue-vocabulary,Community genre_000317 (media) 精确名称。
4小时以上,approved,workType:over_four_hours,,localogue-community-data,Community genre_000304 (production) 精确名称。
4時間以上,approved,workType:over_four_hours,,localogue-community-data,Community genre_000304 (production) 精确名称。
4時間以上作品,approved,workType:over_four_hours,,fanza,FANZA 2026-03-20 provider snapshot exact routing.
69,approved,genre:sixty_nine,,localogue-community-data,Community genre_000216 (act) 精确名称。
69式,approved,genre:sixty_nine,,localogue-community-data,Community genre_000216 (act) 精确名称。
Actress,approved,genre:actress,,localogue-community-data,Community genre_000074 (role) 精确名称。
Adaptation,approved,workType:adaptation,,localogue-community-data,Community genre_000278 (production) 精确名称。
Adult,approved,sourceOnly:generic_adult,,localogue-vocabulary,
Adult Animation,approved,workType:adult_animation,,localogue-community-data,Community genre_000274 (production) 精确名称。
Adult Live Action,approved,workType:adult_live_action,,localogue-community-data,Community genre_000273 (production) 精确名称。
Adults Only,approved,sourceOnly:rating_adults_only,,localogue-community-data|localogue-vocabulary,Community genre_000323 (rating) 精确名称。
Amateur,approved,genre:amateur,,localogue-community-data,Community genre_000004 (theme) 精确名称。
Amateur Role,approved,genre:amateur,,localogue-community-data,Community genre_000118 (role) 精确名称。
Anal,approved,genre:anal,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Anal Sex,approved,genre:anal,,localogue-community-data,Community genre_000217 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Anime Cosplay,approved,genre:anime_cosplay,,localogue-community-data,Community genre_000159 (wardrobe) 精确名称。
Anniversary,approved,sourceOnly:lifecycle_anniversary,,localogue-vocabulary,
Anniversary Work,approved,sourceOnly:lifecycle_anniversary,,localogue-community-data|localogue-vocabulary,Community genre_000009 (theme) 精确名称。
Aphrodisiac Theme,approved,genre:aphrodisiac_theme,,localogue-community-data,Community genre_000261 (practice) 精确名称。
Apron,approved,genre:apron,,localogue-community-data,Community genre_000148 (wardrobe) 精确名称。
Asia,approved,sourceOnly:region_asia,,localogue-vocabulary,
Asian Performer,approved,genre:asian_performer,,localogue-community-data,Community genre_000130 (role) 精确名称。
Baby-faced,approved,genre:baby_faced,,localogue-community-data,Community genre_000115 (role) 精确名称。 Community genre_000201 (body) 精确名称。
Babydoll,approved,genre:babydoll,,localogue-community-data,Community genre_000145 (wardrobe) 精确名称。
Bath,approved,genre:bath,,localogue-community-data,Community genre_000253 (practice) 精确名称。
BDSM,approved,genre:sm,,localogue-community-data,Community genre_000243 (practice) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Beautiful Breasts,approved,genre:beautiful_breasts,,localogue-community-data,Community genre_000186 (body) 精确名称。
Beautiful Butt,approved,genre:beautiful_butt,,localogue-community-data,Community genre_000188 (body) 精确名称。
Beautiful Girl,approved,genre:beautiful_girl,,localogue-community-data,Community genre_000001 (theme) 精确名称。
Beautiful Legs,approved,genre:beautiful_legs,,localogue-community-data,Community genre_000197 (body) 精确名称。
Beauty Salon,approved,genre:beauty_salon,,localogue-community-data,Community genre_000029 (theme) 精确名称。
Beauty Treatment,approved,genre:beauty_treatment,,localogue-community-data,Community genre_000030 (theme) 精确名称。
Best Of,approved,workType:best_of,,legacy-localogue,V1-24 以前的 Work Type 显示词，保留为稳定别名。
Best-of Compilation,approved,workType:best_of,,localogue-community-data,Community genre_000280 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
Big Bust,approved,genre:big_bust,,localogue-community-data,Community genre_000181 (body) 精确名称。
Big Butt,approved,genre:big_butt,,localogue-community-data,Community genre_000187 (body) 精确名称。
Bikini,approved,genre:bikini,,localogue-community-data,Community genre_000140 (wardrobe) 精确名称。
Bisexual,approved,genre:bisexual,,localogue-community-data,Community genre_000270 (practice) 精确名称。
Black Performer,approved,genre:black_performer,,localogue-community-data,Community genre_000131 (role) 精确名称。
Bloomers,approved,genre:bloomers,,localogue-community-data,Community genre_000137 (wardrobe) 精确名称。
Blowjob,approved,genre:blowjob,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Blu-ray,approved,sourceOnly:media_blu_ray,,localogue-community-data|localogue-vocabulary,Community genre_000309 (media) 精确名称。
Blu-ray（ブルーレイ）,approved,sourceOnly:media_blu_ray,,localogue-vocabulary|metatube-356-20240608|metatube-jp-zh-20250329|metatube-reference,
Body Swap,approved,genre:body_swap,,localogue-community-data,Community genre_000036 (theme) 精确名称。
Body Type Section,approved,sourceOnly:taxonomy_section_body,,localogue-vocabulary,
Bodysuit,approved,genre:bodysuit,,localogue-community-data,Community genre_000175 (wardrobe) 精确名称。
Bondage,approved,genre:bondage,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Bondage Wear,approved,genre:bondage_wear,,localogue-community-data,Community genre_000177 (wardrobe) 精确名称。
Boots,approved,genre:boots,,localogue-community-data,Community genre_000170 (wardrobe) 精确名称。
Bra,approved,genre:bra,,localogue-community-data,Community genre_000143 (wardrobe) 精确名称。
Breast Fetish,approved,genre:breast_fetish,,localogue-community-data,Community genre_000062 (theme) 精确名称。
Breast Fondling,approved,genre:breast_fondling,,localogue-community-data,Community genre_000238 (act) 精确名称。
Bride,approved,genre:bride,,localogue-community-data,Community genre_000102 (role) 精确名称。
Bubble Bath,approved,genre:bubble_bath,,localogue-community-data,Community genre_000254 (practice) 精确名称。
Bukkake,approved,genre:bukkake,,localogue-community-data,Community genre_000222 (act) 精确名称。
Bullet Vibrator,approved,genre:bullet_vibrator,,localogue-community-data,Community genre_000259 (practice) 精确名称。
Bunny Girl,approved,genre:bunny_girl,,localogue-community-data,Community genre_000160 (wardrobe) 精确名称。
Butt Fetish,approved,genre:butt_fetish,,localogue-community-data,Community genre_000063 (theme) 精确名称。
Car Sex,approved,genre:car_sex,,localogue-community-data,Community genre_000252 (practice) 精确名称。
Cat Ears,approved,genre:cat_ears,,localogue-community-data,Community genre_000161 (wardrobe) 精确名称。
Celebrity,approved,genre:celebrity,,localogue-community-data,Community genre_000072 (role) 精确名称。
Censored,approved,workType:censored,,localogue-community-data,Community genre_000299 (production) 精确名称。
Character Section,approved,sourceOnly:taxonomy_section_role,,localogue-vocabulary,
Cheating,approved,genre:cheating,,localogue-community-data,Community genre_000049 (theme) 精确名称。
Cheongsam,approved,genre:cheongsam,,localogue-community-data,Community genre_000156 (wardrobe) 精确名称。
Childhood Friend,approved,genre:childhood_friend,,localogue-community-data,Community genre_000112 (role) 精确名称。
Childhood Friends,approved,genre:childhood_friend,,localogue-community-data,Community genre_000043 (theme) 精确名称。
Chroma Key,approved,sourceOnly:technical_chroma_key,,localogue-vocabulary,
Chubby,approved,genre:chubby,,localogue-community-data,Community genre_000190 (body) 精确名称。
Close-up,approved,sourceOnly:technical_close_up,,localogue-vocabulary,
Clothed,approved,genre:clothed,,localogue-community-data,Community genre_000179 (wardrobe) 精确名称。
Co-starring,approved,workType:co_starring,,legacy-localogue|localogue-community-data,V1-24 以前的 Work Type 显示词，保留为稳定别名。 Community genre_000013 (theme) 精确名称。
Co-starring Work,approved,workType:co_starring,,localogue-community-data,Community genre_000283 (production) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Work Type 显示词。
Comeback Work,approved,sourceOnly:lifecycle_comeback,,localogue-community-data|localogue-vocabulary,Community genre_000008 (theme) 精确名称。
Comedy,approved,genre:comedy,,localogue-community-data,Community genre_000018 (theme) 精确名称。
Competition Swimsuit,approved,genre:competition_swimsuit,,localogue-community-data,Community genre_000141 (wardrobe) 精确名称。
Compilation,approved,workType:compilation,,localogue-community-data,Community genre_000279 (production) 精确名称。
Concept Work,approved,workType:concept_work,,localogue-community-data,Community genre_000012 (theme) 精确名称。
Cosplay,approved,genre:cosplay,,localogue-community-data,Community genre_000158 (wardrobe) 精确名称。
Costume Section,approved,sourceOnly:taxonomy_section_wardrobe,,localogue-vocabulary,
Couple,approved,genre:couple,,localogue-community-data,Community genre_000041 (theme) 精确名称。
Cowgirl,approved,genre:cowgirl,,localogue-community-data,Community genre_000212 (act) 精确名称。
Creampie,approved,genre:creampie,,localogue-community-data,Community genre_000218 (act) 精确名称。
Cross-dressing,approved,genre:cross_dressing,,localogue-community-data,Community genre_000178 (wardrobe) 精确名称。
Culture,approved,sourceOnly:generic_culture,,localogue-vocabulary,
Cum Swallowing,approved,genre:cum_swallowing,,legacy-localogue,V1-24 以前的 Localogue Canonical 显示词，保留为稳定别名。
Cunnilingus,approved,genre:cunnilingus,,localogue-community-data,Community genre_000207 (act) 精确名称。
Dance,approved,genre:dance,,localogue-community-data,Community genre_000033 (theme) 精确名称。
Dating Reality,approved,genre:dating_reality,,localogue-community-data,Community genre_000068 (theme) 精确名称。
Daughter,approved,genre:daughter,,localogue-community-data,Community genre_000109 (role) 精确名称。
Debut,approved,sourceOnly:lifecycle_debut,,localogue-vocabulary,
Debut Work,approved,sourceOnly:lifecycle_debut,,localogue-community-data|localogue-vocabulary,Community genre_000006 (theme) 精确名称。
Deep Kissing,approved,genre:deep_kissing,,localogue-community-data,Community genre_000204 (act) 精确名称。
Deep Throat,approved,genre:deep_throat,,localogue-community-data,Community genre_000206 (act) 精确名称。
Digital Distribution,approved,sourceOnly:media_digital_distribution,,localogue-community-data|localogue-vocabulary,Community genre_000314 (media) 精确名称。
Dildo,approved,genre:dildo,,localogue-community-data,Community genre_000258 (practice) 精确名称。
Dirty Talk,approved,genre:dirty_talk,,localogue-community-data,Community genre_000240 (act) 精确名称。
Documentary,approved,genre:documentary,,localogue-community-data,Community genre_000015 (theme) 精确名称。
Documentary Production,approved,workType:documentary_production,,localogue-community-data,Community genre_000288 (production) 精确名称。
Dominatrix,approved,genre:dominatrix,,localogue-community-data,Community genre_000123 (role) 精确名称。
Dominatrix Play,approved,genre:dominatrix,,localogue-community-data,Community genre_000248 (practice) 精确名称。
Doujin Work,approved,workType:doujin_work,,localogue-community-data,Community genre_000297 (production) 精确名称。
Download,approved,sourceOnly:media_download,,localogue-community-data|localogue-vocabulary,Community genre_000316 (media) 精确名称。
Drama,approved,genre:drama,,localogue-community-data,Community genre_000014 (theme) 精确名称。
Drama Production,approved,workType:drama_production,,localogue-community-data,Community genre_000287 (production) 精确名称。
Drug-related,approved,sourceOnly:content_drug,,localogue-vocabulary,
DVD,approved,sourceOnly:media_dvd,,localogue-community-data|localogue-vocabulary,Community genre_000308 (media) 精确名称。
Esthetician,approved,genre:esthetician,,localogue-community-data,Community genre_000096 (role) 精确名称。
Exhibitionism,approved,genre:exhibitionism,,localogue-community-data,Community genre_000250 (practice) 精确名称。
Extremely Large Bust,approved,genre:extremely_large_bust,,localogue-community-data,Community genre_000183 (body) 精确名称。
Facial,approved,genre:facial,,localogue-community-data,Community genre_000219 (act) 精确名称。
Fair-skinned,approved,genre:fair_skinned,,localogue-community-data,Community genre_000196 (body) 精确名称。
Family,approved,genre:family,,localogue-community-data,Community genre_000044 (theme) 精确名称。
Fan Appreciation,approved,genre:fan_appreciation,,localogue-community-data,Community genre_000010 (theme) 精确名称。
Fantasy,approved,genre:fantasy,,localogue-community-data,Community genre_000022 (theme) 精确名称。
Feature-length,approved,workType:feature_length,,localogue-community-data,Community genre_000306 (production) 精确名称。
Featured Work,approved,sourceOnly:marketing_topic_work,,localogue-vocabulary,
Fellatio,approved,genre:blowjob,,localogue-community-data,Community genre_000205 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Female Announcer,approved,genre:female_announcer,,localogue-community-data,Community genre_000073 (role) 精确名称。
Female College Student,approved,genre:female_college_student,,localogue-community-data,Community genre_000078 (role) 精确名称。
Female Doctor,approved,genre:female_doctor,,localogue-community-data,Community genre_000090 (role) 精确名称。
Female High School Student,approved,genre:female_high_school_student,,localogue-community-data,Community genre_000079 (role) 精确名称。
Female Prosecutor,approved,genre:female_prosecutor,,localogue-community-data,Community genre_000091 (role) 精确名称。
Female Teacher,approved,genre:female_teacher,,localogue-community-data,Community genre_000081 (role) 精确名称。
Female Warrior,approved,genre:female_warrior,,localogue-community-data,Community genre_000119 (role) 精确名称。
Femdom,approved,genre:femdom,,localogue-community-data,Community genre_000272 (practice) 精确名称。
Feminine Boy,approved,genre:feminine_boy,,localogue-community-data,Community genre_000125 (role) 精确名称。
Feminization,approved,genre:feminization,,localogue-community-data,Community genre_000040 (theme) 精确名称。
Fetish,approved,genre:fetish,,localogue-community-data,Community genre_000059 (theme) 精确名称。
Fingering,approved,genre:fingering,,localogue-community-data,Community genre_000227 (act) 精确名称。
First Shoot,approved,sourceOnly:lifecycle_first_shoot,,localogue-community-data|localogue-vocabulary,Community genre_000005 (theme) 精确名称。
Fisting,approved,genre:fisting,,localogue-community-data,Community genre_000228 (act) 精确名称。
Flight Attendant,approved,genre:flight_attendant,,localogue-community-data,Community genre_000093 (role) 精确名称。
Foot Fetish,approved,genre:foot_fetish,,localogue-community-data,Community genre_000061 (theme) 精确名称。
Footjob,approved,genre:footjob,,localogue-community-data,Community genre_000209 (act) 精确名称。
For Men,approved,workType:for_men,,localogue-community-data,Community genre_000296 (production) 精确名称。
For Women,approved,workType:for_women,,localogue-community-data,Community genre_000295 (production) 精确名称。
Foreign Performer,approved,genre:foreign_performer,,localogue-community-data,Community genre_000129 (role) 精确名称。
France,approved,sourceOnly:region_france,,localogue-vocabulary,
Friends,approved,genre:friends,,localogue-community-data,Community genre_000042 (theme) 精确名称。
Full HD,approved,sourceOnly:media_full_hd,,localogue-community-data|localogue-vocabulary,Community genre_000318 (media) 精确名称。
Full HD (FHD),approved,sourceOnly:media_full_hd,,localogue-vocabulary,
Full Nudity,approved,genre:full_nudity,,localogue-community-data,Community genre_000067 (theme) 精确名称。
Gay,approved,genre:gay,,localogue-community-data,Community genre_000269 (practice) 精确名称。
Genre Section,approved,sourceOnly:taxonomy_section_genre,,localogue-vocabulary,
Glasses,approved,genre:glasses,,localogue-community-data,Community genre_000172 (wardrobe) 精确名称。
Gokkun,approved,genre:cum_swallowing,,localogue-community-data,Community genre_000223 (act) 精确名称。 Community/扩展词表名称；Localogue 保留既有 Canonical 显示词。
Gothic Lolita,approved,genre:gothic_lolita,,localogue-community-data,Community genre_000162 (wardrobe) 精确名称。
