communityId,facet,assignmentTarget,ja,zh-CN,en,targetKind,targetId,decision
genre_000001,theme,genreIds,美少女,美少女,Beautiful Girl,genre,beautiful_girl,community-canonical-genre
genre_000002,theme,genreIds,人妻,已婚女性,Married Woman,genre,married_woman,community-canonical-genre
genre_000003,theme,genreIds,熟女,熟女,Mature Woman,genre,mature,community-canonical-genre
genre_000004,theme,genreIds,素人,素人,Amateur,genre,amateur,community-canonical-genre
genre_000005,theme,genreIds,初撮り,首次拍摄,First Shoot,sourceOnly,lifecycle_first_shoot,recognized-source-only
genre_000006,theme,genreIds,デビュー作,出道作,Debut Work,sourceOnly,lifecycle_debut,recognized-source-only
genre_000007,theme,genreIds,引退作,引退作,Retirement Work,sourceOnly,lifecycle_retirement,recognized-source-only
genre_000008,theme,genreIds,復帰作,复出作,Comeback Work,sourceOnly,lifecycle_comeback,recognized-source-only
genre_000009,theme,genreIds,記念作,纪念作品,Anniversary Work,sourceOnly,lifecycle_anniversary,recognized-source-only
genre_000010,theme,genreIds,ファン感謝,粉丝感谢,Fan Appreciation,genre,fan_appreciation,community-canonical-genre
genre_000011,theme,genreIds,単体作品,单体作品,Solo Performer Work,workType,solo,rerouted-from-community-genre
genre_000012,theme,genreIds,企画作品,企划作品,Concept Work,workType,concept_work,rerouted-from-community-genre
genre_000013,theme,genreIds,共演,共演,Co-starring,workType,co_starring,rerouted-from-community-genre
genre_000014,theme,genreIds,ドラマ,剧情,Drama,genre,drama,community-canonical-genre
genre_000015,theme,genreIds,ドキュメンタリー,纪录片,Documentary,genre,documentary,community-canonical-genre
genre_000016,theme,genreIds,恋愛,恋爱,Romance,genre,romance,community-canonical-genre
genre_000017,theme,genreIds,ラブコメ,爱情喜剧,Romantic Comedy,genre,romantic_comedy,community-canonical-genre
genre_000018,theme,genreIds,コメディ,喜剧,Comedy,genre,comedy,community-canonical-genre
genre_000019,theme,genreIds,サスペンス,悬疑,Suspense,genre,suspense,community-canonical-genre
genre_000020,theme,genreIds,ホラー,恐怖,Horror,genre,horror,community-canonical-genre
genre_000021,theme,genreIds,SF,科幻,Science Fiction,genre,science_fiction,community-canonical-genre
genre_000022,theme,genreIds,ファンタジー,奇幻,Fantasy,genre,fantasy,community-canonical-genre
genre_000023,theme,genreIds,パロディ,戏仿,Parody,genre,parody,community-canonical-genre
genre_000024,theme,genreIds,時代劇,历史剧,Period Drama,genre,period_drama,community-canonical-genre
genre_000025,theme,genreIds,旅行,旅行,Travel,genre,travel,community-canonical-genre
genre_000026,theme,genreIds,温泉,温泉,Hot Spring,genre,hot_spring,community-canonical-genre
genre_000027,theme,genreIds,学校,学校题材,School Setting,genre,school_setting,community-canonical-genre
genre_000028,theme,genreIds,職場,职场题材,Workplace Setting,genre,workplace_setting,community-canonical-genre
genre_000029,theme,genreIds,美容院,美容院,Beauty Salon,genre,beauty_salon,community-canonical-genre
